address,institute,rank,tuition,undergradEnrollment
"Riverside, CA",University of California--Riverside,118,40263,18608
"Lawrence, KS",University of Kansas,118,25932,19245
"St. Paul, MN",University of St. Thomas,118,39594,6240
"Washington, DC",The Catholic University of America,124,42536,3480
"Chicago, IL",DePaul University,124,37626,15961
"Pittsburgh, PA",Duquesne University,124,35062,5961
"Washington, DC",Howard University,124,24908,6883
"Tucson, AZ",University of Arizona,124,30025,33732
"Tempe, AZ",Arizona State University--Tempe,129,25458,41828
"Potsdam, NY",Clarkson University,129,46132,3257
"Fort Collins, CO",Colorado State University,129,28374,24433
"New York, NY",New School,129,45535,6792
"Hempstead, NY",Hofstra University,133,42160,6824
"Lexington, KY",University of Kentucky,133,26334,22705
"Manhattan, KS",Kansas State University,135,23429,19859
"Baton Rouge, LA",Louisiana State University--Baton Rouge,135,27005,26156
"Macon, GA",Mercer University,135,35130,4667
"Newark, NJ",New Jersey Institute of Technology,135,30326,8008
"Newark, NJ",Rutgers University--Newark,135,29480,7713
"Fayetteville, AR",University of Arkansas,135,23168,22159
"Cincinnati, OH",University of Cincinnati,135,26334,25054
"University, MS",University of Mississippi,135,22012,18785
"Fairfax, VA",George Mason University,143,32582,23062
"Corvallis, OR",Oregon State University,143,28846,24612
"Pullman, WA",Washington State University,143,25673,24470
"Garden City, NY",Adelphi University,146,34034,4852
"Athens, OH",Ohio University,146,21208,23513
"San Diego, CA",San Diego State University,146,18244,29234
"Rochester, NY",St. John Fisher College,146,31880,2805
"Albany, NY",University at Albany--SUNY,146,22244,12908
