institute,salary9,salaryAnnual,title,totalFaculty
Huntingdon College,51406.0,68542.0,Associate Professor,9
Huntingdon College,52619.0,70160.0,Assistant Professor,23
Huntingdon College,25000.0,33334.0,Instructor,1
Jacksonville State University,77587.0,103450.0,Professor,91
Jacksonville State University,62801.0,83735.0,Associate Professor,76
Jacksonville State University,54854.0,73139.0,Assistant Professor,60
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
University of Mobile,42733.0,56978.0,Assistant Professor,37
University of Mobile,35720.0,47627.0,Instructor,9
University of Montevallo,75466.0,100622.0,Professor,42
University of Montevallo,64533.0,86044.0,Associate Professor,41
University of Montevallo,53050.0,70734.0,Assistant Professor,49
Jacksonville State University,48420.0,64561.0,Instructor,91
Judson College,57032.0,76044.0,Professor,5
Judson College,51465.0,68620.0,Associate Professor,7
Judson College,47789.0,63718.0,Assistant Professor,12
University of West Alabama,73791.0,98389.0,Professor,16
University of West Alabama,68644.0,91526.0,Associate Professor,24
University of West Alabama,55645.0,74194.0,Assistant Professor,57
University of West Alabama,39809.0,53079.0,Instructor,14
University of West Alabama,33707.0,44943.0,Lecturer,5
Miles College,43952.0,58603.0,Professor,9
Miles College,42165.0,56220.0,Associate Professor,15
Miles College,37719.0,50293.0,Assistant Professor,24
Miles College,33520.0,44694.0,Instructor,53
University of Mobile,53308.0,71078.0,Professor,17
University of Mobile,47117.0,62824.0,Associate Professor,18
