2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,institute
0.955,1.049,1.239,1.218,0.955,1.198,1.25,1.182,1.228,1.471,1.86,University of Kansas
0.577,0.785,0.958,0.909,0.697,0.779,0.916,0.9,0.992,1.137,1.143,University of Kentucky
4.931,5.652,7.09,7.572,6.001,6.564,7.835,7.691,8.382,9.731,9.952,University of Michigan
1.969,2.224,2.804,2.751,2.086,2.196,2.503,2.494,2.757,3.165,3.297,University of Minnesota
0.849,0.944,1.098,1.025,0.882,0.975,1.119,1.172,1.259,1.441,1.477,University of Missouri
1.042,1.153,1.277,1.221,0.965,1.143,1.242,1.215,1.338,1.547,1.538,University of Nebraska
1.486,1.149,2.164,2.359,1.905,1.979,2.261,2.179,2.381,2.696,2.989,University of North Carolina at Chapel Hill
3.65,4.437,5.977,6.226,4.795,5.235,6.26,6.33,6.856,8.04,8.567,University of Notre Dame
0.777,0.96,1.114,1.155,0.848,0.968,1.212,1.172,1.324,1.493,1.523,University of Oklahoma
4.37,5.313,6.635,6.233,5.171,5.669,6.582,6.755,7.741,9.582,10.134,University of Pennsylvania
1.53,1.803,2.254,2.334,1.837,2.033,2.527,2.618,2.975,3.493,3.589,University of Pittsburgh
1.208,1.388,1.655,1.704,1.417,1.615,1.877,1.868,2.023,2.313,2.372,University of Richmond
1.37,1.491,1.726,1.731,1.315,1.368,1.623,1.582,1.73,2.015,2.05,University of Rochester
2.746,3.066,3.715,3.589,2.671,2.948,3.517,3.489,3.868,4.593,4.71,University of Southern California
0.715,0.811,0.954,0.887,0.0,0.729,0.848,0.827,0.919,1.072,1.107,University of Tennessee system
11.61,13.235,15.614,16.111,12.163,14.052,17.149,18.264,20.448,25.426,24.083,University of Texas System
0.77,0.817,0.915,0.837,0.647,0.692,0.801,0.785,0.885,1.015,1.037,University of Tulsa
3.219,3.618,4.37,4.526,3.577,3.707,4.761,4.789,5.116,5.946,7.528,University of Virginia
1.49,1.794,2.184,2.262,1.649,1.905,2.154,2.111,2.346,2.833,3.076,University of Washington
1.125,1.426,1.645,1.735,1.373,1.551,1.873,1.812,2.02,2.332,2.465,University of Wisconsin–Madison
2.628,2.946,3.487,3.524,2.834,3.044,3.415,3.399,3.673,4.086,4.134,Vanderbilt University
0.235,0.266,0.329,0.33,0.253,0.281,0.35,0.438,1.327,1.509,1.638,Virginia Commonwealth University
0.907,1.042,1.249,1.254,0.887,0.938,1.032,1.0,1.061,1.148,1.167,Wake Forest University
0.532,0.587,0.693,1.027,0.897,1.008,1.218,1.262,1.345,1.478,1.471,Washington and Lee University
4.268,4.684,5.658,5.35,4.081,4.473,5.28,5.226,5.651,6.643,6.819,Washington University in St. Louis
1.276,1.412,1.657,1.611,1.266,1.307,1.5,1.445,1.55,1.808,1.854,Wellesley College
1.348,1.462,1.892,1.808,1.409,1.527,1.784,1.799,1.996,2.253,2.395,Williams College
15.224,18.031,22.53,22.87,16.327,16.652,19.374,19.345,20.78,23.9,25.572,Yale University
1.149,1.273,1.41,1.345,0.979,1.028,1.069,1.054,1.183,1.093,1.061,Yeshiva University
